frame,angle_file1,angle_file2,angle_file3
600,-17.5307,-17.3861,-18.5098
601,-17.5854,-17.4423,-18.5822
602,-17.6401,-17.5012,-18.6236
603,-17.6948,-17.5629,-18.6372
604,-17.7495,-17.6273,-18.627
605,-17.8042,-17.6947,-18.5958
606,-17.8589,-17.765,-18.5446
607,-17.9136,-17.8383,-18.4709
608,-17.9683,-17.9148,-18.3712
609,-18.023,-17.9946,-18.2409
610,-18.0777,-18.0777,-18.0777
611,-17.8434,-17.8352,-17.8818
612,-17.6091,-17.5937,-17.6594
613,-17.3748,-17.3532,-17.4206
614,-17.1405,-17.1136,-17.1783
615,-16.9062,-16.8749,-16.9443
616,-16.6719,-16.6371,-16.7275
617,-16.4376,-16.4002,-16.5296
618,-16.2033,-16.1641,-16.3459
619,-15.969,-15.9288,-16.1656
620,-15.7347,-15.6943,-15.9745
621,-15.5004,-15.4605,-15.7581
622,-15.2661,-15.2274,-15.5055
623,-15.0318,-14.995,-15.2127
624,-14.7975,-14.7633,-14.883
625,-14.5632,-14.5322,-14.5282
626,-14.3289,-14.3017,-14.1679
627,-14.0946,-14.0718,-13.8265
628,-13.8603,-13.8424,-13.5317
629,-13.626,-13.6136,-13.309
630,-13.3917,-13.3853,-13.1798
631,-13.1574,-13.1574,-13.1574
632,-13.3595,-13.329,-13.2442
633,-13.5616,-13.5035,-13.4318
634,-13.7637,-13.6808,-13.7011
635,-13.9658,-13.861,-14.0262
636,-14.1679,-14.0442,-14.3798
637,-14.3701,-14.2303,-14.7374
638,-14.5722,-14.4194,-15.1177
639,-14.7743,-14.6116,-15.5324
640,-14.9764,-14.8068,-15.9994
641,-15.1785,-15.0051,-16.5315
642,-15.3806,-15.2066,-17.1248
643,-15.5827,-15.4112,-17.7526
644,-15.7848,-15.619,-18.3663
645,-15.9869,-15.8301,-18.9052
646,-16.189,-16.0444,-19.3038
647,-16.3912,-16.2621,-19.4954
648,-16.5933,-16.4831,-19.4618
649,-16.7954,-16.7076,-19.2049
650,-16.9975,-16.9355,-18.7471
651,-17.1996,-17.1668,-18.1288
652,-17.4017,-17.4017,-17.4017
653,-17.8943,-17.8984,-16.6214
654,-18.387,-18.3946,-15.8383
655,-18.8796,-18.8905,-15.0999
656,-19.3723,-19.386,-14.4296
657,-19.8649,-19.8811,-13.849
658,-20.3576,-20.3758,-13.3734
659,-20.8502,-20.8701,-13.0183
660,-21.3428,-21.364,-12.803
661,-21.8355,-21.8575,-12.7526
662,-22.3281,-22.3505,-12.8959
663,-22.8208,-22.8432,-13.2611
664,-23.3134,-23.3355,-13.867
665,-23.8061,-23.8273,-14.7282
666,-24.2987,-24.3187,-15.8387
667,-24.7913,-24.8097,-17.1801
668,-25.284,-25.3004,-18.7221
669,-25.7766,-25.7905,-20.4264
670,-26.2693,-26.2803,-22.2319
671,-26.7619,-26.7697,-24.0846
672,-27.2546,-27.2586,-25.9355
673,-27.7472,-27.7472,-27.7472
674,-28.7426,-28.5098,-29.4917
675,-29.7379,-29.3034,-31.1772
676,-30.7333,-30.1266,-32.6211
677,-31.7286,-30.9783,-34.2029
678,-32.724,-31.8572,-35.7392
679,-33.7193,-32.7622,-37.2228
680,-34.7147,-33.6921,-38.6408
681,-35.71,-34.6457,-39.9753
682,-36.7054,-35.6219,-41.2183
683,-37.7007,-36.6194,-42.375
684,-38.6961,-37.6372,-43.4629
685,-39.6914,-38.6739,-44.502
686,-40.6868,-39.7284,-45.5016
687,-41.6821,-40.7994,-46.4501
688,-42.6775,-41.8856,-47.3111
689,-43.6728,-42.9858,-48.0233
690,-44.6682,-44.0987,-48.5526
691,-45.6635,-45.2229,-48.9526
692,-46.6589,-46.357,-49.0508
693,-47.6542,-47.4997,-48.9381
694,-48.6496,-48.6496,-48.6496
695,-47.9309,-48.0903,-48.2059
696,-47.2122,-47.5193,-47.639
697,-46.4935,-46.936,-46.9781
698,-45.7748,-46.3399,-46.2469
699,-45.0561,-45.7304,-45.4651
700,-44.3375,-45.1069,-44.65
701,-43.6188,-44.4686,-43.8175
702,-42.9001,-43.8151,-42.9929
703,-42.1814,-43.1455,-42.1825
704,-41.4627,-42.4592,-41.283
705,-40.744,-41.7554,-40.538
706,-40.0253,-41.0332,-39.8261
707,-39.3066,-40.2918,-39.138
708,-38.5879,-39.5304,-38.4664
709,-37.8692,-38.7481,-37.7973
710,-37.1506,-37.9438,-37.1197
711,-36.4319,-37.1166,-36.426
712,-35.7132,-36.2654,-35.7161
713,-34.9945,-35.3892,-34.9956
714,-34.2758,-34.4868,-34.2732
715,-33.5571,-33.5571,-33.5571
716,-32.9474,-32.9591,-32.8528
717,-32.3377,-32.3595,-32.1609
718,-31.7279,-31.7585,-31.4761
719,-31.1182,-31.156,-30.7896
720,-30.5085,-30.5521,-30.1323
721,-29.8988,-29.9468,-29.4642
722,-29.2891,-29.3404,-28.8811
723,-28.6793,-28.7327,-28.1668
724,-28.0696,-28.1238,-27.4227
725,-27.4599,-27.5139,-26.5645
726,-26.8502,-26.903,-25.6506
727,-26.2405,-26.2911,-24.6832
728,-25.6308,-25.6784,-23.6694
729,-25.021,-25.0648,-22.6267
730,-24.4113,-24.4505,-21.5963
731,-23.8016,-23.8356,-20.6687
732,-23.1919,-23.22,-19.9695
733,-22.5822,-22.6039,-19.7276
734,-21.9724,-21.9873,-19.9196
735,-21.3627,-21.3703,-20.2948
736,-20.753,-20.753,-20.753
737,-21.8103,-21.5316,-21.2392
738,-22.8676,-22.3295,-21.7523
739,-23.9249,-23.1477,-22.3207
740,-24.9822,-23.9874,-22.9872
741,-26.0395,-24.8498,-23.7988
742,-27.0968,-25.7362,-24.7957
743,-28.1541,-26.6478,-26.0011
744,-29.2114,-27.5861,-27.4112
745,-30.2687,-28.5524,-28.9459
746,-31.326,-29.5484,-30.5948
747,-32.3834,-30.5755,-32.2229
748,-33.4407,-31.6355,-33.8861
749,-34.498,-32.73,-35.5546
750,-35.5553,-33.8609,-36.9621
751,-36.6126,-35.03,-38.1764
752,-37.6699,-36.2391,-39.1835
753,-38.7272,-37.4903,-40.0512
754,-39.7845,-38.7856,-40.8286
755,-40.8418,-40.127,-41.5585
756,-41.8991,-41.5166,-42.2666
757,-42.9564,-42.9564,-42.9564
758,-42.7726,-42.7681,-43.6124
759,-42.5888,-42.5802,-44.209
760,-42.4051,-42.3927,-44.7216
761,-42.2213,-42.2056,-45.1372
762,-42.0375,-42.0189,-45.4598
763,-41.8537,-41.8327,-45.7037
764,-41.67,-41.6469,-45.8908
765,-41.4862,-41.4616,-46.0408
766,-41.3024,-41.2768,-46.1632
767,-41.1186,-41.0924,-46.2521
768,-40.9349,-40.9084,-46.2864
769,-40.7511,-40.725,-46.2336
770,-40.5673,-40.542,-46.056
771,-40.3835,-40.3596,-45.7192
772,-40.1998,-40.1777,-45.2023
773,-40.016,-39.9962,-44.4994
774,-39.8322,-39.8153,-43.6245
775,-39.6484,-39.635,-42.6069
776,-39.4647,-39.4551,-41.4856
777,-39.2809,-39.2758,-40.3025
778,-39.0971,-39.0971,-39.0971
779,-39.1576,-39.0883,-37.9058
780,-39.218,-39.0869,-36.7625
781,-39.2785,-39.0926,-35.7024
782,-39.3389,-39.1055,-34.7552
783,-39.3994,-39.1254,-33.9398
784,-39.4599,-39.1522,-33.3244
785,-39.5203,-39.1858,-32.9625
786,-39.5808,-39.2263,-32.9052
787,-39.6413,-39.2735,-33.1815
788,-39.7017,-39.3274,-33.7892
789,-39.7622,-39.3881,-34.6775
790,-39.8226,-39.4555,-35.7456
791,-39.8831,-39.5295,-36.872
792,-39.9436,-39.6103,-37.9382
793,-40.004,-39.6978,-38.7855
794,-40.0645,-39.7921,-39.379
795,-40.125,-39.8932,-39.7375
796,-40.1854,-40.0011,-39.9323
797,-40.2459,-40.116,-40.0489
798,-40.3063,-40.2378,-40.1739
799,-40.3668,-40.3668,-40.3668
800,-40.1499,-40.1636,-40.6427
